date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:35:58	279390/279390	---M--	200	added ('OK')	image/jpeg	etag:%2214db84cb07bc981483731d54e3e8e39a%22	https://cdn.goturkiye.com/goturkiye/1920x1080-66.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/1920x1080-66.jpg	(from https://goturkiye.com/local-shops-artisans)
02:35:59	85144/85144	---M--	200	added ('OK')	image/jpeg	etag:%222c6bc46cb7d6d1f891bd060caf25f08b%22	https://cdn.goturkiye.com/goturkiye/shutterstock327170444-kapak-1.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock327170444-kapak-1.jpg	(from https://goturkiye.com/5-turkish-winter-drinks-you-can-enjoy)
02:36:00	97030/97030	---M--	200	added ('OK')	image/jpeg	etag:%22cb382ea0eae76c8772afc09288620ae7%22	https://cdn.goturkiye.com/goturkiye/shutterstock1868831296-1.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock1868831296-1.jpg	(from https://goturkiye.com/5-turkish-winter-drinks-you-can-enjoy)
02:36:01	69090/69090	---M--	200	added ('OK')	image/jpeg	etag:%224c6464dd75c0784e02da6872e7ed3bfe%22	https://cdn.goturkiye.com/goturkiye/shutterstock1896391081-1.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock1896391081-1.jpg	(from https://goturkiye.com/5-turkish-winter-drinks-you-can-enjoy)
02:36:02	58488/58488	---M--	200	added ('OK')	image/jpeg	etag:%22380dbdd96e1088082c396c726fb27f5d%22	https://cdn.goturkiye.com/goturkiye/shutterstock1008207373-1.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock1008207373-1.jpg	(from https://goturkiye.com/5-turkish-winter-drinks-you-can-enjoy)
02:36:03	79636/79636	---M--	200	added ('OK')	image/jpeg	etag:%22cd152aeb78521a4ac3ad09e2f8dce4f0%22	https://cdn.goturkiye.com/goturkiye/shutterstock352487714-1.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock352487714-1.jpg	(from https://goturkiye.com/5-turkish-winter-drinks-you-can-enjoy)
02:36:04	81093/81093	---M--	200	added ('OK')	image/jpeg	etag:%2290ad829d9757507096b8dfb669fb5a44%22	https://cdn.goturkiye.com/goturkiye/shutterstock1123831799-1.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock1123831799-1.jpg	(from https://goturkiye.com/5-turkish-winter-drinks-you-can-enjoy)
02:36:06	163047/163047	---M--	200	added ('OK')	image/jpeg	etag:%22ab76e2cbfba43f9f1ddb435f8f6627fb%22	https://cdn.goturkiye.com/goturkiye/shutterstock2119892549-kapak.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock2119892549-kapak.jpg	(from https://goturkiye.com/how-to-capture-the-snow-capped-mountains-of-anatolia)
02:36:07	178836/178836	---M--	200	added ('OK')	image/jpeg	etag:%22c0a92b263f908ff606c2e4bea73c9ff9%22	https://cdn.goturkiye.com/goturkiye/shutterstock535258615.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock535258615.jpg	(from https://goturkiye.com/how-to-capture-the-snow-capped-mountains-of-anatolia)
02:36:08	126812/126812	---M--	200	added ('OK')	image/jpeg	etag:%22770b40f24a63a68298a226bc9301838e%22	https://cdn.goturkiye.com/goturkiye/shutterstock620623931.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock620623931.jpg	(from https://goturkiye.com/how-to-capture-the-snow-capped-mountains-of-anatolia)
